rank,name,code,city,state,aa,dl,wn,ua,us,pas_2012,pas_2011,pas_2010,pas_2009,pas_2008,longi,lat,wifi,hotel,kids,pet,trans,x ,y
1,Hartsfield-Jackson Atlanta International Airport,ATL,Atlanta,GA,Y,Y*,Y*,Y,Y,45798809,44414121,43130585,42280868,43236665,-84.427864,33.6367,4.95/day,TRUE,TRUE,TRUE,TRUE,523,377
2,O'Hare International Airport,ORD,Chicago,IL,Y*,Y,N,Y*,Y,32171743,31892301,32171831,31135732,33683991,-87.907389,41.979333,6.95/day,TRUE,TRUE,TRUE,TRUE,480,245
3,Los Angeles International Airport,LAX,Los Angeles,CA,Y*,Y,Y,Y*,Y,31326268,30528737,28857755,27439897,28861477,-118.408068,33.942495,f,N,N,TRUE,N,103,376
4,Miami International Airport,MIA,Miami,FL,Y*,Y,N,Y,Y,30227003,28987488,28342158,27017654,26187768,-80.290111,25.795361,r,TRUE,N,TRUE,TRUE,571,490
5,Dallas/Fort Worth International Airport,DFW,Dallas/Fort Worth,TX,Y*,Y,N,Y,Y,28022877,27518358,27100656,26663984,27219985,-97.037996,32.896828,f,TRUE,TRUE,TRUE,N,369,386
6,Denver International Airport,DEN,Denver,CO,Y,Y,Y,Y*,Y,25799832,25667499,25241962,24013669,24287939,-104.673167,39.861667,f,N,N,TRUE,N,277,281
7,John F. Kennedy International Airport,JFK,New York,NY,Y*,Y*,N,Y,Y,24520943,23664830,22934047,22710272,23620948,-73.778926,40.639751,4.95/hr 7.95/day,N,TRUE,TRUE,TRUE,659,271
8,San Francisco International Airport,SFO,San Francisco,CA,Y,Y,Y,Y*,Y,21284224,20038679,19359003,18467908,18135827,-122.375237,37.619105,f,N,TRUE,TRUE,TRUE,53,316
9,Charlotte/Douglas International Airport,CLT,Charlotte,NC,Y,Y,Y,Y,Y*,20032426,19022535,18629181,18165476,19291428,-80.949069,35.213741,f,N,N,TRUE,N,565,356
10,McCarran International Airport,LAS,Las Vegas,NV,Y,Y,Y*,Y,Y,19941173,19854759,18996738,19445952,21024443,-115.15225,36.080056,f,N,TRUE,TRUE,N,147,340
11,Phoenix Sky Harbor International Airport,PHX,Phoenix,AZ,Y,Y,Y*,Y,Y*,19556189,19750306,18907171,18559647,19450576,-112.011583,33.434278,f,N,TRUE,TRUE,TRUE,187,384
12,George Bush Intercontinental Airport,IAH,Houston,TX,Y,Y,N,Y*,Y,19038958,19306660,19528631,19290239,20030898,-95.341444,29.984444,r,TRUE,N,TRUE,N,387,431
13,Orlando International Airport,MCO,Orlando,FL,Y,Y,Y,Y,Y,17159425,17250415,17017491,16371016,17288480,-81.309,28.429389,f,TRUE,N,TRUE,N,559,449
14,Newark Liberty International Airport,EWR,Newark,NJ,Y,Y,Y,Y*,Y,17035098,16814092,16571754,16659441,17599578,-74.168687,40.69248,4.95/hr 7.95/day,TRUE,N,TRUE,TRUE,648,267
15,Seattle-Tacoma International Airport,SEA,Seattle,WA,Y,Y,Y,Y,Y,16121123,15971676,15406243,15273092,15839504,-122.311778,47.449889,f,N,TRUE,TRUE,TRUE,61,145
16,Minneapolis-St. Paul International Airport/Wold-Chamberlain Airport,MSP,Minneapolis/St. Paul,MN,Y,Y*,Y,Y,Y,15943751,15895653,15512487,15551206,16369324,-93.221778,44.881972,f,N,TRUE,TRUE,TRUE,416,199
17,Detroit Metropolitan Wayne County Airport,DTW,Detroit,MI,Y,Y*,Y,Y,Y,15599877,15716865,15643890,15211402,16998174,-83.353389,42.212417,f,TRUE,TRUE,TRUE,N,534,245
18,Philadelphia International Airport,PHL,Philadelphia,PA,Y,Y,Y,Y,Y*,14587631,14883180,14951254,15002961,15586852,-75.240866,39.872249,f,TRUE,TRUE,TRUE,TRUE,637,280
19,Logan International Airport,BOS,Boston,MA,Y,Y,Y,Y,Y,14293675,14171476,13561814,12566797,12820489,-71.006417,42.362972,f,TRUE,TRUE,TRUE,N,686,241
20,LaGuardia Airport,LGA,New York,NY,Y,Y*,Y,Y,Y,12818717,11989227,12001501,11084300,11567586,-73.872611,40.77725,4.95/hr 7.95/day,N,N,N,N,655,262
21,Fort Lauderdale/Hollywood International Airport,FLL,Fort Lauderdale,FL,Y,Y,Y,Y,Y,11445101,11332466,10829810,10258118,11020091,-80.152741,26.072596,f,N,N,N,TRUE,575,480
22,Baltimore-Washington International Thurgood Marshall Airport,BWI,Baltimore/Washington DC,MD,Y,Y,Y*,Y,Y,11183965,11067317,10848633,10338950,10215225,-76.668333,39.175361,r,N,TRUE,TRUE,TRUE,615,295
23,Washington Dulles International Airport,IAD,Washington DC,VA,Y,Y,Y,Y*,Y,10785683,11043829,11276481,11132098,11348775,-77.459944,38.947444,f,N,N,TRUE,N,604,300
24,Salt Lake City International Airport,SLC,Salt Lake City,UT,Y,Y*,Y,Y,Y,9579836,9701756,9910493,9903821,9993198,-111.977773,40.788388,f,N,TRUE,TRUE,TRUE,185,265
25,Ronald Reagan Washington National Airport,DCA,Washington DC,VA,Y,Y,Y,Y,Y*,9462206,9053004,8736804,8490288,8704466,-77.037699,38.851916,f,N,N,TRUE,TRUE,610,300
